,id_str,ra,dec,est_petro_th50
1603,450670_2021,137.24160701016942,21.255411473459255,2.492567438106989
1619,454694_3367,137.47972932271256,22.07285717910369,2.026541160850208
1665,463993_1790,136.3097514303884,23.712548459066902,2.5201431770339386
1666,463993_2874,136.27887968505473,23.763195387991036,1.871610760047136
1672,460025_2500,137.5137630652793,23.04481535430719,2.35803220686398
1691,412996_4551,335.01182495856426,14.3440556798803,2.007371764335854
1706,462674_1154,136.85135692050483,23.45214068411945,3.1343982961334835
1720,469260_2778,137.63944734848863,24.7806324608906,2.49610066825312
1728,453367_2895,140.6916128166566,21.845847037892245,3.434730313431725
1748,456044_743,141.04060574875461,22.165823315106717,2.0404078213814105
1765,458715_1003,142.65655067742404,22.673357591178053,2.1377245276563674
1772,465333_311,141.9923984590147,23.89927663060906,2.037026806941542
1788,461360_2639,139.80619961725446,23.30673119253624,2.648236104307134
1797,466643_2950,139.9706456621775,24.285102723393337,2.241128568225775
1831,474492_2562,140.8772569738515,25.77174472251926,10.35867109825189
1850,470588_2050,142.5855448661797,24.956723034285318,2.6949807642007797
1856,471891_3635,141.6553738890508,25.358096375119388,2.5219866925256196
1892,467944_4939,136.29195812702054,24.593072831564164,1.4790676216601657
1893,467945_2479,136.40700470601243,24.506963636766212,1.9959886802200957
1902,474471_421,135.08620130026418,25.652790598632293,2.413288095197199
1918,473179_1421,137.51342064956094,25.452735076347437,2.7046244493894105
1929,474482_4717,138.019520017747,25.866252428996436,2.804697581557019
1953,478370_4986,138.24667234207269,26.6221066313296,2.213734302965098
1976,478362_2700,136.06967843054318,26.51961005241571,1.611007179186629
1993,488603_1436,136.79502803909884,28.45178312842954,3.464111180061394
2011,483513_3150,138.29778740365776,27.545511490120973,2.118433206157978
2024,484790_1073,137.919514149764,27.6864390308869,1.5026942245620618
2048,488609_917,138.4279456516501,28.42542546170286,4.268662123625127
2051,488609_2842,138.45891876301746,28.53878640908196,2.0263632255961177
2060,492399_815,138.4762182525504,29.178723539770626,6.647874683577201
2070,478377_4032,140.34720904953483,26.611450930160935,2.705228886327895
2075,479663_338,139.1365287216861,26.655169647506934,1.8917191617876787
2092,484801_466,140.8676518948341,27.65523380490541,2.3209648924252053
2105,478380_3005,141.17980750785318,26.545468387507615,1.8166833643062696
2123,414400_197,336.9206303101008,14.385996105512094,2.328726203317633
2134,487351_1420,141.6001191958896,28.2283137036177,2.0094544953443214
2165,491142_2075,139.3190832874467,29.017733560643318,3.8092080707197793
2173,492402_4379,139.2843985620707,29.370946703146423,6.727443864181864
2191,488620_432,141.5354596738501,28.40065873157986,1.464948266892881
2201,489889_4701,142.35157247702497,28.85455222736943,1.6524328100755334
2214,492414_1242,142.58845325513704,29.19450402777214,2.7498716686905587
2240,458719_3552,143.8143629302608,22.82978166439853,2.527074864100269
2271,464019_3590,143.37539744463277,23.84665828991897,2.329038872766499
2279,410214_1854,338.4421587105516,13.72297687279654,3.391073914571371
2303,466662_763,144.99350111674036,24.168027657831622,2.2638598437694353
2315,461382_165,145.54840656830322,23.137644508134425,5.0992341445162515
2347,466670_2812,147.2901191628028,24.25243112311355,1.7136003055435796
2373,469287_3773,144.8892845136867,24.85360856220007,2.192778410598675
2410,480972_5036,145.05458330944552,27.123653203907878,2.1580957414131157
2412,413009_885,338.1701411938325,14.196125477110016,3.2104491684298777
2426,473210_688,146.03268911746162,25.416767403716506,4.438713142575691
2453,478402_1336,147.36571553723923,26.445900994693318,2.0773065549891556
2457,478404_4358,147.8584501761635,26.61155611774088,4.396977912549958
2458,478396_3477,145.55425126413832,26.527114128075034,2.0304585715872174
2474,480981_3291,147.77476893691357,27.07708612126747,3.145591717682813
2475,482266_1369,147.81654365612087,27.20993680908763,3.6855001771158995
2482,460064_2875,148.073082393838,23.04565042392548,2.37952173398893
2523,467995_4668,150.20991673001825,24.609743082214234,3.097707524124817
2541,473223_900,149.8616122047703,25.430689877754798,2.2987165042452093
2561,393238_6084,318.50881743437293,10.841773356639024,3.111289267534981
2572,464047_2779,150.97225808969955,23.801986186257867,2.6812639517570918
2583,469308_3103,150.86794019266478,24.777162744755643,3.331965061429337
2584,469310_2917,151.2637278679713,24.760415062101043,3.1455427048260414
2594,468004_404,152.6598763450325,24.41297167887173,10.51762082021467
2595,468004_391,152.67151492979704,24.407498560354846,10.35867109825189
2596,468004_394,152.67900273450346,24.414923726958417,7.608066188084353
2597,468004_398,152.67100005271774,24.420313276015186,10.35867109825189
2598,468004_396,152.67826429102783,24.41905573113096,10.35867109825189
2604,470627_678,153.36162315313916,24.920194680187375,2.6916838305098305
2665,478412_3080,149.9548562489153,26.569279647187898,3.015493992720594
2687,483554_2242,149.86684582004912,27.496070008891877,2.965167587362435
2707,488652_706,150.47753875937553,28.421346173876028,2.2356615137966034
2732,484842_1185,152.40997741839215,27.69542932026138,2.1525622211729787
2733,484843_1498,152.8227644621915,27.725089037308276,1.6086073651592203
2746,487385_1652,151.32294457455993,28.224362028914562,0.9986684173311222
2753,489924_4695,152.23972802120292,28.862270937781627,2.5109489264759017
2773,483539_87,145.43386072464423,27.38095400886778,3.131719780482146
2799,488626_3878,143.21207681767194,28.619794668147545,1.7911389534744366
2854,491168_2612,146.70889740401554,29.037055347640205,2.3877069921842735
2863,493685_3596,146.71999961081733,29.569969977332665,3.494439912029173
2891,492419_2323,144.19757907664624,29.278245675909538,5.755616220768507
2906,486101_1597,148.03019473173057,27.953116562501737,1.5473473604235886
2908,488644_706,148.33929538294308,28.41118196362817,2.3990538843978335
2918,491173_466,148.25634784702046,28.896751748423462,1.7656964775628916
2931,489917_809,150.3054560254227,28.67326749235446,2.1828452317324727
