,id_str,ra,dec,est_petro_th50
27294,176725_6540,35.8978530052874,-27.668982947181767,2.5874749041255516
27531,185697_1772,28.302552863610106,-26.068251057172073,2.0766909189426683
27723,187011_5832,32.96977799132221,-25.66736700124067,2.295238174083329
29066,210726_6717,14.003169293010107,-21.13782075381582,1.5935699415752806
30146,208080_175,23.87414845494509,-21.870320820556532,2.0507307596202016
30341,213461_2717,26.085582144197076,-20.770330041515084,2.0553122501400227
30472,221554_2867,17.004575975390342,-19.283683007156878,1.7046705797689623
31618,263146_2382,6.859952460308561,-11.744231602697855,2.4390683561934012
31842,251921_2274,11.141463023041938,-13.757388504755069,1.903288996106105
31880,260353_4753,13.198282878502948,-12.146659846230454,1.72398955154907
31981,271655_4406,12.022638147498185,-10.154968986148603,2.0057750336219744
33093,224355_6095,36.64781940981182,-18.685734266236015,1.6859747055811984
33802,252016_1858,35.64512461418356,-13.809866254050178,2.3765768414591584
34375,250637_1088,40.578182984275585,-14.088025183239756,2.0851874557411323
37149,171794_7396,77.55799603880769,-28.644054002064074,1.8638624350755943
38071,245081_415,46.81400550716304,-15.110882957546849,2.0763792908553977
38368,252076_305,51.09831239539369,-13.86424261077483,1.7477194468966704
38985,488028_1100,333.49135561483536,28.17030434942685,2.735222651682342
39412,229930_3641,62.4183533439405,-17.74022823266423,2.297130817755484
39762,271828_2984,56.0743488131552,-10.224602223455818,2.163787385789282
39942,193661_4496,67.29241579843615,-24.48639752541905,2.631063144572983
40015,204244_6074,69.39726353189653,-22.428886241950607,2.600755680018886
40140,221742_4970,66.76512902598832,-19.206151134730835,1.8602176384119486
41864,229989_3484,77.95901340201321,-17.74164750808662,1.8917185077068133
43294,109346_3265,349.915862498265,-42.23216871644479,1.7963946105106812
43386,99890_1551,353.8825209916029,-44.55513185319741,2.1398121242680563
43413,103007_1883,353.5042522790614,-43.79319968256575,1.5907156837618845
45495,127101_3674,19.45683222159182,-37.998692842746784,1.897792889269104
45710,125977_5457,22.56129633493742,-38.17355089054256,1.908419875881994
46340,481739_1760,359.8134467103012,26.97148852833549,1.9063929019143624
47209,148165_3032,22.45744859145386,-33.492475565974054,2.5595217989225945
47686,120395_1312,32.10862970866363,-39.56822247595024,1.5662904524146875
48624,160409_5714,38.21972216098126,-30.943388002465102,1.7610039629690326
48647,161650_1050,39.73479345584207,-30.829417167554777,2.0922066944093913
49745,396255_3514,5.9675378214658314,11.565483982784455,2.122155270409284
51880,129572_5102,79.31581117543615,-37.420575729564966,1.7594738017124671
52485,150737_1611,70.63755780097327,-33.058699147615954,2.0010709942972684
52886,143578_1786,81.24122202143683,-34.56071328960765,2.216968628938012
53609,156887_1611,88.38959458381504,-31.82339273987128,1.535292353689741
54198,44506_5448,92.59650884821325,-59.88489398638264,2.2471246861867473
56195,52493_1837,320.69802657233726,-57.471459035595686,2.558612277197737
57079,34754_6654,353.54769810838707,-63.67429170903699,1.8884573740695179
57382,103926_4955,309.3908651413883,-43.448879073998455,1.834108731550927
57660,85764_3299,313.05632194445644,-47.983381373702116,2.1508727861800807
57792,401734_638,324.3474156470439,12.149711706777511,1.948913825630395
59953,51747_2848,335.4454720037512,-57.68399755816459,2.040088505461727
60606,43552_2363,334.9052195572656,-60.52376801893807,1.9607092680190719
60907,47211_104,342.4333902368051,-59.371376668003506,2.258073749250138
61150,41455_5941,347.39766390044326,-61.184451370492454,1.9666941566569232
62459,78235_1746,339.6984276245271,-50.04625561684198,1.7875523577165409
62738,107165_369,334.0223856569356,-42.86483743594356,2.5650527162606847
62841,93730_4968,338.0425255792767,-45.95844315048493,1.6770959426505272
64288,435274_5025,12.78078699379935,18.622238703147556,2.32297450254464
64592,36084_2911,11.403022132155003,-63.02771067716379,2.440829794994081
65345,43708_76,53.60629986254318,-60.37198326118397,1.8923629146449856
69592,80337_2225,67.81851155295134,-49.268263879651755,2.9333955560236853
69999,86059_2441,62.90321800204643,-47.72767616005913,2.3775877791111624
70290,459565_1041,12.912500007928323,22.930847211688565,1.6392338969726667
70769,41512_288,16.78134006638214,-61.11440925095705,1.8424841831756997
71177,51814_2325,6.743841371168597,-57.4812909944235,2.073376031159028
71236,57371_2560,8.836709641055755,-55.70994398557262,2.0531161706987353
71393,52602_3962,11.43274596197277,-57.18774750266646,1.8717888020482591
71594,63202_1429,18.672372989653912,-54.03215120271874,3.031618697616266
72261,66686_1746,39.884145374451194,-53.00884067928269,1.7861560563271772
72860,70108_3569,2.4613150307222473,-51.90158684921201,1.772894850516641
75126,425662_3662,16.839663745841452,16.85351689551823,2.3446382441695617
77414,114923_575,45.321433860920195,-40.844990484163624,2.155578031624251
77506,124935_6200,50.95138524628264,-38.400028561601395,1.9820168393519544
80449,552429_599,235.7492597797479,41.911272946054126,1.6354844554188097
80783,581683_2745,233.27142379218625,49.302512217024464,1.841844583798608
80908,583543_67,227.1791880721673,49.62796780641022,1.7737336229452652
