,im_paths,id_str,ra,dec,petro_theta,est_petro_th50,petro_th50,petro_th90,gini,category,hec_path,m20
39,E:/GZ-DESI/images/major-dist\102896_1319-cutout.fits,102896_1319,315.47954495866907,-43.811844586452246,,5.509730423838631,,,0.3425638171874759,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102896_1319-cutout.fits,-0.8872973608772755
40,E:/GZ-DESI/images/major-dist\102896_1358-cutout.fits,102896_1358,315.4803900743556,-43.815750089899495,,3.53778398450464,,,0.5178655042106741,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102896_1358-cutout.fits,-1.965149174240348
41,E:/GZ-DESI/images/major-dist\102899_5618-cutout.fits,102899_5618,316.46374137584706,-43.659402839848326,,4.657270436053511,,,0.3018284839965604,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102899_5618-cutout.fits,-1.1364193476369584
42,E:/GZ-DESI/images/major-dist\102900_2494-cutout.fits,102900_2494,316.6123294047512,-43.78575659581272,,2.2531815744358146,,,0.4360990329424135,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102900_2494-cutout.fits,-1.7179937598716837
43,E:/GZ-DESI/images/major-dist\102944_37-cutout.fits,102944_37,332.0557864696824,-43.868776764506634,,5.836223743117797,,,0.4744449564273223,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102944_37-cutout.fits,-1.987119770971154
44,E:/GZ-DESI/images/major-dist\102944_5609-cutout.fits,102944_5609,332.04326036626907,-43.652476888941266,,3.485256692257414,,,0.3624533658024298,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102944_5609-cutout.fits,-1.5534829286091587
45,E:/GZ-DESI/images/major-dist\102956_4783-cutout.fits,102956_4783,335.9319100880957,-43.702797189442045,,1.6472932236069546,,,0.39300489647864706,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102956_4783-cutout.fits,-1.5764215073486667
46,E:/GZ-DESI/images/major-dist\102968_3910-cutout.fits,102968_3910,340.1583144017039,-43.722869740204544,,1.5302710407645734,,,0.32673723001822763,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/102968_3910-cutout.fits,-1.5514911948773502
47,E:/GZ-DESI/images/major-dist\103006_2025-cutout.fits,103006_2025,353.4349701965222,-43.785924431216785,,3.5078158755794644,,,0.28331761224467106,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103006_2025-cutout.fits,-1.5434893333483362
48,E:/GZ-DESI/images/major-dist\103010_2959-cutout.fits,103010_2959,354.6753449558877,-43.741964115707226,,2.361294444667108,,,0.4603071217595522,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103010_2959-cutout.fits,-1.7632602188231836
49,E:/GZ-DESI/images/major-dist\103018_4651-cutout.fits,103018_4651,357.4312211517141,-43.66280322996949,,8.215217773284836,,,0.37041690576348596,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103018_4651-cutout.fits,-0.8320271986541993
50,E:/GZ-DESI/images/major-dist\103034_460-cutout.fits,103034_460,2.8446715349968383,-43.58731102262024,,2.289870592033678,,,0.432727784255609,major,/mmfs1/storage/users/oryan/galaxy-zoo-desi/major-cutouts/103034_460-cutout.fits,-1.9544357464969553
